"","phylum","class","family","species","date","year","lat","lon","locality","num.obs"
"54","Magnoliophyta","Magnoliopsida","Ranunculaceae","Ranunculus acris",1928-06-15,1928,41.75223,-72.72181,"Oakwood Avenue Woods",6
"55","Magnoliophyta","Liliopsida","Cyperaceae","Carex rosea",1930-06-12,1930,41.76361,-72.685,"Hartford",6
"56","Magnoliophyta","Liliopsida","Cyperaceae","Carex stipata",1930-06-12,1930,41.75916,-72.67277,"Charter Oak Tree Memorial Park, Hartford",6
"57","Magnoliophyta","Magnoliopsida","Violaceae","Viola blanda",1930-05-01,1930,41.76361,-72.685,"Hartford",6
"58","Pteridophyta","Polypodiopsida","Dryopteridaceae","Dryopteris cristata",1938-07-01,1938,41.70111,-72.67,"Wethersfield",6
"59","Magnoliophyta","Magnoliopsida","Ericaceae","Rhododendron viscosum",1944-06-18,1944,41.766,-72.6834,"",6
"60","Magnoliophyta","Liliopsida","Iridaceae","Sisyrinchium angustifolium",1944-06-12,1944,41.76194,-72.74194,"West Hartford",6
"61","Magnoliophyta","Magnoliopsida","Salicaceae","Populus deltoides",1946-06-04,1946,41.76583,-72.68388,"Hartford",6
"62","Magnoliophyta","Liliopsida","Cyperaceae","Bulbostylis capillaris",1963-07-25,1963,41.80222,-72.66611,"Keney Park",6
"63","Magnoliophyta","Liliopsida","Cyperaceae","Carex scoparia",1902-06-24,1902,41.77611,-72.71944,"Elizabeth Park, West Hartford",5
"64","Magnoliophyta","Liliopsida","Cyperaceae","Carex vesicaria v. monile",1903-06-15,1903,41.76194,-72.74194,"West Hartford",5
"65","Magnoliophyta","Magnoliopsida","Fabaceae","Lathyrus pratensis",1904-07-24,1904,41.76361,-72.685,"Hartford",5
"66","Pteridophyta","Polypodiopsida","Osmundaceae","Osmunda claytoniana",1905-05-14,1905,41.76138,-72.61583,"East Hartford",5
"67","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Cerastium nutans",1906-05-25,1906,41.7635,-72.6153,"",5
"68","Magnoliophyta","Liliopsida","Cyperaceae","Pycreus bipartitus",1908-10-08,1908,41.7661,-72.6833,"sandy shore of Connecticut River",5
"69","Magnoliophyta","Magnoliopsida","Lamiaceae","Teucrium canadense",1908-08-30,1908,41.7661,-72.6833,"South Meadow",5
"70","Magnoliophyta","Magnoliopsida","Campanulaceae","Lobelia cardinalis",1908-08-02,1908,41.7661,-72.6833,"South Meadow",5
"71","Magnoliophyta","Magnoliopsida","Asteraceae","Helenium autumnale",1909-09-25,1909,41.766,-72.6834,"",5
"72","Magnoliophyta","Magnoliopsida","Nyssaceae","Nyssa sylvatica",1909-09-12,1909,41.7011,-72.6703,"at old nursery",5
"73","Magnoliophyta","Magnoliopsida","Oleaceae","Ligustrum vulgare",1909-09-12,1909,41.7012,-72.6704,"",5
"74","Magnoliophyta","Magnoliopsida","Salicaceae","Salix purpurea",1909-09-01,1909,41.7661,-72.6833,"plentiful in river meadows",5
"75","Magnoliophyta","Liliopsida","Cyperaceae","Eleocharis acicularis",1909-07-22,1909,41.7661,-72.6833,"Reservoir",5
"76","Magnoliophyta","Liliopsida","Poaceae","Panicum stigmosum",1909-07-09,1909,41.7012,-72.6704,"",5
"77","Magnoliophyta","Magnoliopsida","Rutaceae","Ptelea trifoliata",1911-07-13,1911,41.7011,-72.6703,"Escaped at old nursery",5
"78","Magnoliophyta","Magnoliopsida","Violaceae","Viola pubescens",1915-05-08,1915,41.76194,-72.74194,"West Hartford",5
"79","Magnoliophyta","Magnoliopsida","Asteraceae","Galinsoga quadriradiata",1916-09-02,1916,41.7635,-72.6153,"",5
"80","Magnoliophyta","Magnoliopsida","Oleaceae","Syringa vulgaris",1916-05-26,1916,41.78222,-72.61194,"East Hartford",5
"81","Magnoliophyta","Liliopsida","Cyperaceae","Carex pallescens",1917-05-27,1917,41.78222,-72.61194,"East Hartford",5
"82","Magnoliophyta","Liliopsida","Alismataceae","Sagittaria rigida",1918-09-01,1918,41.7636,-72.6153,"mud-flats along Hockanum River",5
"83","Magnoliophyta","Magnoliopsida","Asteraceae","Symphyotrichum racemosum",1928-09-15,1928,41.75223,-72.72181,"Oakwood Avenue Woods",5
"84","Magnoliophyta","Magnoliopsida","Fabaceae","Trifolium hybridum",1928-06-21,1928,41.75223,-72.72181,"Oakwood Avenue Woods",5
"85","Magnoliophyta","Magnoliopsida","Asteraceae","Erigeron philadelphicus",1928-06-18,1928,41.75223,-72.72181,"Oakwood Avenue Woods",5
"86","Magnoliophyta","Magnoliopsida","Asteraceae","Erigeron caucasicus",1928-05-30,1928,41.75223,-72.72181,"Oakwood Avenue Woods",5
"87","Magnoliophyta","Magnoliopsida","Brassicaceae","Cardamine pensylvanica",1928-05-23,1928,41.75223,-72.72181,"Oakwood Avenue Woods",5
"88","Magnoliophyta","Magnoliopsida","Asteraceae","Krigia virginica",1929-05-28,1929,41.76138,-72.61583,"East Hartford",5
"89","Magnoliophyta","Magnoliopsida","Asteraceae","Nabalus albus",1930-09-08,1930,41.76583,-72.68388,"Hartford",5
"90","Magnoliophyta","Magnoliopsida","Oleaceae","Fraxinus pennsylvanica",1930-02-10,1930,41.75916,-72.67277,"Charter Oak Tree Memorial Park, Hartford",5
"91","Magnoliophyta","Magnoliopsida","Caprifoliaceae","Lonicera dioica",1933-07-10,1933,41.7661,-72.6833,"bank of Housatonic River",5
"92","Magnoliophyta","Liliopsida","Orchidaceae","Cypripedium acaule",1938-05-08,1938,41.766,-72.6834,"",5
"93","Magnoliophyta","Liliopsida","Orchidaceae","Platanthera clavellata",1938-01-07,1938,41.71833,-72.57722,"Addison",5
"94","Magnoliophyta","Magnoliopsida","Asteraceae","Tussilago farfara",1939-04-29,1939,41.76138,-72.61583,"East Hartford",5
"95","Magnoliophyta","Magnoliopsida","Apocynaceae","Asclepias amplexicaulis",1940-07-18,1940,41.78222,-72.61194,"East Hartford",5
"96","Magnoliophyta","Magnoliopsida","Brassicaceae","Sisymbrium altissimum",1945-05-30,1945,41.76361,-72.685,"Hartford",5
"97","Magnoliophyta","Magnoliopsida","Violaceae","Viola pedata",1945-04-26,1945,41.78222,-72.61194,"East Hartford",5
"98","Magnoliophyta","Magnoliopsida","Rosaceae","Potentilla canadensis",1958-05-10,1958,41.766,-72.6834,"",5
"99","Magnoliophyta","Liliopsida","Poaceae","Alopecurus pratensis",1962-05-25,1962,41.7661,-72.6833,"Goodwin Park near the east side of parking lot",5
"100","Chordata","Actinopterygii","Clupeidae","Alosa pseudoharengus",1965-07-25,1965,41.80347,-72.65196,"Connecticut River, Wilson Boat Launch",5
"101","Arthropoda","Insecta","Andrenidae","Andrena crataegi",1894-05-31,1894,41.7636,-72.6856,"Hartford",4
"102","Magnoliophyta","Liliopsida","Orchidaceae","Platanthera grandiflora",1896-07-01,1896,41.7635,-72.6153,"",4
"103","Magnoliophyta","Magnoliopsida","Aquifoliaceae","Ilex verticillata",1902-06-27,1902,41.77305,-72.7375,"Noyes Brook, West Hartford",4
"104","Magnoliophyta","Magnoliopsida","Geraniaceae","Erodium moschatum",1903-10-25,1903,41.766,-72.6834,"",4
"105","Magnoliophyta","Magnoliopsida","Chenopodiaceae","Chenopodium hybridum",1903-08-30,1903,41.76361,-72.685,"Hartford",4
"106","Magnoliophyta","Magnoliopsida","Sapindaceae","Acer rubrum",1903-04-28,1903,41.78222,-72.61194,"East Hartford",4
"107","Magnoliophyta","Magnoliopsida","Apiaceae","Cicuta bulbifera",1904-08-19,1904,41.73305,-72.7225,"Elmwood",4
"108","Magnoliophyta","Liliopsida","Cyperaceae","Carex conoidea",1904-06-01,1904,41.78222,-72.6125,"Laurel Park Hill (Spencer Hill)",4
"109","Pteridophyta","Polypodiopsida","Osmundaceae","Osmunda cinnamomea",1904-05-20,1904,41.78444,-72.5775,"Wickham Park, Manchester",4
"110","Magnoliophyta","Liliopsida","Araceae","Symplocarpus foetidus",1904-05-04,1904,41.77611,-72.62027,"Hockanum River",4
"111","Magnoliophyta","Magnoliopsida","Fabaceae","Lespedeza violacea",1905-08-23,1905,41.78222,-72.61194,"East Hartford",4
"112","Magnoliophyta","Liliopsida","Iridaceae","Sisyrinchium montanum",1905-05-28,1905,41.78222,-72.61194,"East Hartford",4
"113","Magnoliophyta","Magnoliopsida","Violaceae","Viola primulifolia",1906-10-03,1906,41.7635,-72.6153,"",4
"114","Magnoliophyta","Magnoliopsida","Rosaceae","Crataegus macrosperma",1906-09-16,1906,41.766,-72.6834,"",4
"115","Magnoliophyta","Liliopsida","Poaceae","Panicum portoricense",1906-06-19,1906,41.7635,-72.6153,"",4
"116","Magnoliophyta","Liliopsida","Iridaceae","Sisyrinchium atlanticum",1906-06-17,1906,41.7635,-72.6153,"",4
"117","Magnoliophyta","Magnoliopsida","Boraginaceae","Myosotis laxa",1906-06-17,1906,41.78222,-72.61194,"East Hartford",4
"118","Magnoliophyta","Magnoliopsida","Boraginaceae","Buglossoides arvensis",1907-06-01,1907,41.78222,-72.61194,"East Hartford",4
"119","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Stellaria longifolia",1907-06-01,1907,41.82361,-72.62111,"South Windsor",4
"120","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago gigantea",1908-08-30,1908,41.7661,-72.6833,"South Meadow",4
"121","Magnoliophyta","Magnoliopsida","Asteraceae","Ambrosia trifida",1908-08-29,1908,41.766,-72.6834,"",4
"122","Magnoliophyta","Liliopsida","Alismataceae","Sagittaria latifolia v. latifolia",1908-07-26,1908,41.76138,-72.61583,"East Hartford",4
"123","Magnoliophyta","Magnoliopsida","Solanaceae","Physalis heterophylla",1908-07-11,1908,41.7661,-72.6833,"South Meadow",4
"124","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Silene latifolia",1908-07-05,1908,41.766,-72.6834,"",4
"125","Magnoliophyta","Liliopsida","Cyperaceae","Eriophorum viridicarinatum",1908-06-14,1908,41.7661,-72.6833,"Cedar Hill",4
"126","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Cerastium fontanum",1908-06-14,1908,41.766,-72.6834,"",4
"127","Magnoliophyta","Magnoliopsida","Apiaceae","Heracleum lanatum",1908-06-13,1908,41.7661,-72.6833,"South Meadow",4
"128","Magnoliophyta","Magnoliopsida","Fabaceae","Lupinus perennis",1908-05-23,1908,41.7635,-72.6153,"",4
"129","Magnoliophyta","Magnoliopsida","Asteraceae","Bidens vulgata",1909-09-25,1909,41.766,-72.6834,"",4
"130","Magnoliophyta","Magnoliopsida","Salicaceae","Salix exigua",1909-09-25,1909,41.7661,-72.6833,"bank of Connecticut River",4
"131","Magnoliophyta","Magnoliopsida","Fagaceae","Quercus palustris",1909-09-25,1909,41.766,-72.6834,"",4
"132","Magnoliophyta","Liliopsida","Poaceae","Torreyochloa pallida",1909-09-25,1909,41.76583,-72.68388,"Hartford",4
"133","Magnoliophyta","Magnoliopsida","Caprifoliaceae","Lonicera japonica",1909-09-12,1909,41.7012,-72.6704,"",4
"134","Magnoliophyta","Magnoliopsida","Caprifoliaceae","Symphoricarpos orbiculatus",1909-09-12,1909,41.7012,-72.6704,"",4
"135","Pinophyta","Pinopsida","Cupressaceae","Thuja occidentalis",1909-09-11,1909,41.7011,-72.6703,"Escaped about old nursery",4
"136","Magnoliophyta","Liliopsida","Poaceae","Cinna arundinacea",1909-09-07,1909,41.7661,-72.6833,"South Meadow",4
"137","Magnoliophyta","Magnoliopsida","Solanaceae","Petunia axillaris",1909-09-03,1909,41.78222,-72.61194,"East Hartford",4
"138","Magnoliophyta","Magnoliopsida","Diervillaceae","Weigela florida",1909-07-09,1909,41.7012,-72.6704,"",4
"139","Magnoliophyta","Magnoliopsida","Caprifoliaceae","Lonicera tatarica",1909-07-09,1909,41.7012,-72.6704,"",4
"140","Magnoliophyta","Liliopsida","Poaceae","Glyceria grandis",1909-06-09,1909,41.7012,-72.6704,"",4
"141","Magnoliophyta","Liliopsida","Poaceae","Glyceria acutiflora",1909-06-09,1909,41.70111,-72.67,"Wethersfield",4
"142","Magnoliophyta","Magnoliopsida","Polygonaceae","Persicaria orientalis",1910-08-30,1910,41.766,-72.6834,"",4
"143","Pinophyta","Pinopsida","Pinaceae","Pinus sylvestris",1910-05-21,1910,41.76583,-72.68388,"Hartford",4
"144","Magnoliophyta","Magnoliopsida","Rosaceae","Sorbus aucuparia",1911-08-13,1911,41.7012,-72.6704,"",4
"145","Magnoliophyta","Magnoliopsida","Sapindaceae","Acer pseudoplatanus",1911-07-12,1911,41.7012,-72.6704,"",4
"146","Magnoliophyta","Liliopsida","Typhaceae","Sparganium eurycarpum",1912-07-30,1912,41.76138,-72.61583,"East Hartford",4
"147","Magnoliophyta","Magnoliopsida","Ericaceae","Pyrola chlorantha",1912-06-28,1912,41.78222,-72.61194,"East Hartford",4
"148","Magnoliophyta","Magnoliopsida","Brassicaceae","Lepidium campestre",1913-06-03,1913,41.78222,-72.61194,"East Hartford",4
"149","Magnoliophyta","Magnoliopsida","Ericaceae","Chimaphila umbellata",1917-05-17,1917,41.7922,-72.7189,"Windsor",4
"150","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago altissima",1927-08-28,1927,41.7661,-72.6833,"bank of Housatonic River",4
"151","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago nemoralis",1928-09-22,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"152","Magnoliophyta","Magnoliopsida","Asteraceae","Symphyotrichum undulatum",1928-09-15,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"153","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago canadensis",1928-09-11,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"154","Magnoliophyta","Magnoliopsida","Asteraceae","Bidens frondosa",1928-09-08,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"155","Magnoliophyta","Magnoliopsida","Fabaceae","Crotalaria sagittalis",1928-08-23,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"156","Magnoliophyta","Magnoliopsida","Primulaceae","Lysimachia terrestris",1928-07-21,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"157","Magnoliophyta","Magnoliopsida","Ranunculaceae","Ranunculus bulbosus",1928-05-31,1928,41.75223,-72.72181,"Oakwood Avenue Woods",4
"158","Magnoliophyta","Magnoliopsida","Ranunculaceae","Ranunculus abortivus",1928-05-13,1928,41.77611,-72.71944,"Elizabeth Park, West Hartford",4
"159","Magnoliophyta","Magnoliopsida","Papaveraceae","Sanguinaria canadensis",1928-04-28,1928,41.76194,-72.74194,"West Hartford",4
"160","Magnoliophyta","Magnoliopsida","Asteraceae","Antennaria parlinii",1929-06-02,1929,41.76583,-72.68388,"Hartford",4
"161","Magnoliophyta","Magnoliopsida","Chenopodiaceae","Atriplex patula",1930-09-10,1930,41.76361,-72.685,"Hartford",4
"162","Magnoliophyta","Liliopsida","Cyperaceae","Scirpus atrovirens",1930-09-10,1930,41.75916,-72.67277,"Charter Oak Tree Memorial Park, Hartford",4
"163","Magnoliophyta","Liliopsida","Cyperaceae","Scirpus pedicellatus",1930-08-10,1930,41.78222,-72.61194,"East Hartford",4
"164","Magnoliophyta","Magnoliopsida","Araliaceae","Eleutherococcus sieboldianus",1930-06-17,1930,41.76333,-72.67694,"Bushnell Park",4
"165","Magnoliophyta","Magnoliopsida","Violaceae","Viola macloskeyi",1930-06-12,1930,41.76194,-72.74194,"West Hartford",4
"166","Magnoliophyta","Liliopsida","Cyperaceae","Carex bromoides",1930-05-20,1930,41.76194,-72.74194,"West Hartford",4
"167","Magnoliophyta","Liliopsida","Cyperaceae","Carex prasina",1930-05-15,1930,41.75916,-72.67277,"Charter Oak Tree Memorial Park, Hartford",4
"168","Magnoliophyta","Magnoliopsida","Campanulaceae","Campanula aparinoides",1932-08-06,1932,41.7636,-72.6153,"Connecticut River",4
"169","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Arenaria serpyllifolia",1933-06-06,1933,41.71222,-72.60805,"Glastonbury",4
"170","Magnoliophyta","Magnoliopsida","Apiaceae","Angelica atropurpurea",1933-06-04,1933,41.7636,-72.6153,"Connecticut River",4
"171","Magnoliophyta","Liliopsida","Orchidaceae","Pogonia ophioglossoides",1936-07-05,1936,41.7635,-72.6153,"",4
"172","Magnoliophyta","Liliopsida","Poaceae","Bromus commutatus",1938-06-25,1938,41.76138,-72.61583,"East Hartford",4
"173","Magnoliophyta","Magnoliopsida","Papaveraceae","Chelidonium majus",1938-05-12,1938,41.766,-72.6834,"",4
"174","Magnoliophyta","Liliopsida","Orchidaceae","Calopogon tuberosus",1939-07-06,1939,41.7661,-72.6833,"Simsbury",4
"175","Magnoliophyta","Liliopsida","Poaceae","Eragrostis cilianensis",1940-10-04,1940,41.76138,-72.61583,"East Hartford",4
"176","Magnoliophyta","Magnoliopsida","Apiaceae","Taenidia integerrima",1941-05-27,1941,41.7661,-72.6833,"bank of Housatonic River",4
"177","Magnoliophyta","Magnoliopsida","Asteraceae","Eupatorium pilosum",1943-08-15,1943,41.7661,-72.6833,"Keney Park",4
"178","Magnoliophyta","Magnoliopsida","Montiaceae","Claytonia virginica",1950-05-17,1950,41.7661,-72.6833,"Lorraine Street on slope to Park River",4
"179","Magnoliophyta","Liliopsida","Cyperaceae","Carex debilis v. rudgei",1953-07-16,1953,41.76194,-72.74194,"West Hartford",4
"180","Magnoliophyta","Liliopsida","Poaceae","Hordeum jubatum",1957-08-11,1957,41.76194,-72.74194,"West Hartford",4
"181","Arthropoda","Arachnida","Stigmaeidae","Eustigmaeus rhodomela",1957-05-16,1957,41.82,-72.62,"South Windsor, Hartford Co., CT, U.S.A.",4
"182","Chordata","Actinopterygii","Clupeidae","Alosa sapidissima",1965-08-15,1965,41.79627,-72.64841,"Connecticut River, Sta. 12b; 200 yds. below Wilson launch site",4
"183","Arthropoda","Insecta","Andrenidae","Andrena dunningi",1895-05-26,1895,41.7637,-72.6851,"Hartford",3
"184","Arthropoda","Insecta","Andrenidae","Andrena barbilabris",1895-05-21,1895,41.7636,-72.6856,"Hartford",3
"185","Arthropoda","Insecta","Andrenidae","Andrena miserabilis",1896-04-26,1896,41.7636,-72.6856,"Hartford",3
"186","Arthropoda","Insecta","Carabidae","Cicindela sexguttata",1897-01-01,1897,41.7599547546156,-72.6794519790329,"Hartford",3
"187","Magnoliophyta","Magnoliopsida","Fabaceae","Desmodium canadense",1898-07-01,1898,41.73833,-72.66444,"South Meadows",3
"188","Magnoliophyta","Magnoliopsida","Apocynaceae","Asclepias tuberosa",1898-01-01,1898,41.7635,-72.6153,"",3
"189","Magnoliophyta","Magnoliopsida","Ranunculaceae","Aquilegia canadensis",1900-05-01,1900,41.7175,-72.70416,"Cedar Mountain",3
"190","Magnoliophyta","Liliopsida","Poaceae","Poa nemoralis",1902-06-29,1902,41.76555,-72.66555,"Connecticut River, East Hartford",3
"191","Magnoliophyta","Magnoliopsida","Asteraceae","Antennaria neglecta",1902-05-09,1902,41.76138,-72.61583,"East Hartford",3
"192","Magnoliophyta","Magnoliopsida","Plantaginaceae","Callitriche heterophylla",1903-10-27,1903,41.73833,-72.66444,"South Meadows",3
"193","Magnoliophyta","Magnoliopsida","Aizoaceae","Tetragonia tetragonioides",1903-10-20,1903,41.766,-72.6834,"",3
"194","Magnoliophyta","Liliopsida","Poaceae","Digitaria sanguinalis",1903-09-06,1903,41.7661,-72.6833,"Connecticut River",3
"195","Magnoliophyta","Liliopsida","Poaceae","Cenchrus longispinus",1903-09-06,1903,41.73833,-72.66444,"South Meadows",3
"196","Magnoliophyta","Liliopsida","Cyperaceae","Carex laxiflora",1903-05-04,1903,41.78222,-72.61194,"East Hartford",3
"197","Magnoliophyta","Magnoliopsida","Cannabaceae","Celtis occidentalis",1904-09-28,1904,41.7661,-72.6833,"bank of Housatonic River",3
"198","Magnoliophyta","Magnoliopsida","Asteraceae","Symphyotrichum ericoides",1904-09-21,1904,41.76138,-72.61583,"East Hartford",3
"199","Magnoliophyta","Magnoliopsida","Asteraceae","Solidago odora",1904-08-12,1904,41.76138,-72.61583,"East Hartford",3
"200","Magnoliophyta","Liliopsida","Xyridaceae","Xyris torta",1904-08-01,1904,41.78222,-72.61194,"East Hartford",3
"201","Magnoliophyta","Magnoliopsida","Caryophyllaceae","Spergularia rubra",1904-07-12,1904,41.7635,-72.6153,"",3
"202","Magnoliophyta","Magnoliopsida","Campanulaceae","Campanula rapunculoides",1904-07-06,1904,41.70111,-72.67,"Wethersfield",3
"203","Magnoliophyta","Liliopsida","Cyperaceae","Carex canescens ssp. disjuncta",1904-06-01,1904,41.78222,-72.61194,"East Hartford",3
